apply_id;action_id;action_type;created_at
796bb847;1af4b0dc;proposed_call;2020-11-09 07:13:10
df8f96cb;c6a9393d;proposed_sms;2020-09-28 08:47:36
df8f96cb;c82a1841;resume_coaching;2020-10-07 10:09:27
fe3df3fa;36e9664d;proposed_call;2020-04-29 03:18:48
fe3df3fa;89f1106e;employer_reminder_1;2020-05-08 23:27:19
fe3df3fa;c307712f;employer_reminder_2;2020-05-09 20:02:19
f0f9ca67;7b0b83a3;proposed_call;2020-08-29 06:10:16
f0f9ca67;8e9ce2ea;employer_reminder_1;2020-08-31 12:31:34
f0f9ca67;12a99a4a;employer_reminder_2;2020-09-06 18:39:53
f0f9ca67;3460df90;resume_coaching;2020-09-15 00:48:29
f0f9ca67;79eb64d6;interview_coaching;2020-09-22 05:18:58
19ceec91;5a728ad7;proposed_sms;2020-09-17 14:47:43
c80d74b4;0f9d89bb;proposed_email;2020-09-18 11:51:48
c80d74b4;974630ff;employer_reminder_1;2020-09-23 03:56:59
940872a0;bcaacfb8;proposed_sms;2020-10-20 19:54:52
940872a0;abef5d09;resume_coaching;2020-10-25 11:34:36
eae148ac;ddd8506c;proposed_email;2020-08-26 15:08:17
eae148ac;a9dca7e9;employer_reminder_1;2020-08-31 13:34:29
0f339595;95c1e662;proposed_call;2020-05-21 02:38:49
0f339595;8e5442c1;resume_coaching;2020-05-22 10:20:27
0f339595;89e86a97;interview_coaching;2020-05-24 18:05:31
cc8e5e2d;ecb2cc80;proposed_email;2021-01-05 20:19:18
c6ae1a11;08d11d48;proposed_call;2020-10-16 01:18:40
c6ae1a11;cde8fa4c;employer_reminder_1;2020-10-25 15:15:53
83e158b2;32c2f70c;proposed_email;2020-07-29 16:29:10
83e158b2;57a873fb;resume_coaching;2020-08-04 02:25:58
9e92a712;b23baf44;proposed_call;2020-10-04 23:18:31
9e92a712;baaa9dba;employer_reminder_1;2020-10-14 01:31:56
9e92a712;edead9de;employer_reminder_2;2020-10-19 19:31:53
9e92a712;2cacab41;resume_coaching;2020-10-25 04:09:09
f86d42f8;f4c053c0;proposed_email;2020-08-08 05:17:36
f86d42f8;087d05da;resume_coaching;2020-08-17 19:31:42
7c565997;02192c23;proposed_email;2020-05-22 14:24:10
7c565997;14019de2;employer_reminder_1;2020-05-23 15:48:14
7c565997;20a1af99;employer_reminder_2;2020-05-25 08:57:57
8ffa3480;f30b32b1;proposed_email;2020-04-21 08:06:37
8ffa3480;3b0bd253;employer_reminder_1;2020-04-23 23:19:47
8ffa3480;28c60e67;employer_reminder_2;2020-04-29 05:02:43
8ffa3480;c856f2a2;resume_coaching;2020-05-01 07:39:27
c910937a;c85cee93;proposed_email;2020-11-23 05:32:28
d1152a98;2e4ccfb9;proposed_email;2020-06-13 14:43:47
d1152a98;8654ed7e;employer_reminder_1;2020-06-19 14:39:27
d1152a98;15b17c18;employer_reminder_2;2020-06-25 00:36:08
4569e2ee;84cbbe78;proposed_sms;2020-11-22 22:28:40
4569e2ee;2ac971ec;employer_reminder_1;2020-11-30 07:32:10
4569e2ee;14dcd7f5;resume_coaching;2020-12-04 20:53:09
38a0e0f0;61fce704;proposed_email;2021-01-06 01:59:31
8476bb62;1522e6cc;proposed_call;2021-03-07 16:39:38
8476bb62;04640c08;employer_reminder_1;2021-03-17 05:08:05
8476bb62;c3d33ab8;resume_coaching;2021-03-24 03:56:56
fb4e5587;d8e9b5ec;proposed_sms;2020-06-24 00:58:22
fb4e5587;e4e357dd;resume_coaching;2020-06-28 10:57:27
968fed8f;1aa53102;proposed_call;2020-11-02 16:11:54
968fed8f;cbbb108c;resume_coaching;2020-11-11 18:36:51
735084f1;f6e5f92b;proposed_call;2020-11-14 13:11:11
735084f1;d1ea75c0;employer_reminder_1;2020-11-23 01:27:03
735084f1;3d97fbb2;resume_coaching;2020-11-24 02:54:06
8e61088c;142f3d39;proposed_email;2020-09-17 07:28:11
3e39e70f;425ffbd1;proposed_email;2020-05-31 08:23:02
9dcf5bb8;d0872ed2;proposed_call;2021-01-25 04:39:36
2ba26a1a;0127738c;proposed_email;2020-05-17 15:19:09
2ba26a1a;c3761e0f;employer_reminder_1;2020-05-23 11:35:04
